						
						
						
WinLoc	SILID	Nominal Unicode Mapping	Other possible CP1252 locations	Mapping Comments	Nominal Non-spacing Mappings	Non-spacing Mapping Comments
P187	0111	PUA				
P188	0112	PUA				
P189	0113	PUA				
P139	0114	005C		See also U+2216. Unicode 3.2 adds reverse solidus operator at U+29F5 and big reverse solidus at U+29F9. 	20E5	"See U+20E5. New in Unicode 3.2. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P140	0115	005C		See also U+2216. Unicode 3.2 adds reverse solidus operator at U+29F5 and big reverse solidus at U+29F9. 	20E5	"See U+20E5. New in Unicode 3.2. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P141	0116	002F		See also U+2044 and U+2215. Unicode 3.2 adds big solidus at U+29F8. 	0338	"See U+0337 and U+0338. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P142	0117	002F		See also U+2044 and U+2215.	0338	"See U+0337 and U+0338. Combinations that use a combining overlay (U+0334..U+0338, U+20E5) should probably be handled as a single, non-decomposed character, and we should probably try to get that character into Unicode before we consider encoding it using the combining overlay characters."
P065	0118	21E8		"Encore glyph SILID 0118 is not an exact match for U+21E8, but that is the closest available mapping. See also U+27AA."		
P066	0119	21E6		"Encore glyph SILID 0119 is not an exact match for U+21E6, but that is the closest available mapping."		
P067	0120	21E9		"Encore glyph SILID 0120 is not an exact match for U+21E9, but that is the closest available mapping."		
P068	0121	21E7		"Encore glyph SILID 0121 is not an exact match for U+21E7, but that is the closest available mapping."		
P052	0122	2756				
P123	0123	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P124	0124	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P125	0125	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P126	0126	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P128	0127	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P129	0128	PUA		"The distinctions between Encore glyphs SILIDs 0039, 0123 - 0128, 6009, 6109, 6209, 6309, 6418 - 6431, 6518 - 6531, 8418 - 8431, 8518 - 8531, 9022 - 9025, 9095, 9822 - 9823, 9922 and 9923 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent.Possibilities include: hyphen-minus U+002D, soft hyphen U+00AD, modifier letter low macron U+02C9, modifier letter minus sign U+02D7, hyphen U+2010, non-breaking hyphen U+2011, figure dash U+2012, en dash U+2013, em dash U+2014, horizontal bar U+2015, overline U+203E, hyphen bullet U+2043, superscript minus U+207B, subscript minus U+208B and minus sign U+2212."		
P132	0129	2003	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P133	0130	2002	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P135	0131	2009	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P137	0132	200A	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P138	0133	200B	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P103	0134	007E	98	"Possible mappings include U+007E, U+02DC and U+223C."	0303	See also U+0330 and U+0334.
P104	0135	00A4				
P038	0136	1F318		See also U+263E.		
P039	0137	1F312		See also U+263D.		
P040	0138	1F314				
P041	0139	1F316		Encore glyph SILID 0139 has a slight similarity to U+274D.		
P042	0140	25D1				
P043	0141	25D0				
P092	0142	2702				
P093	0143	PUA		See also U+2702		
P094	0144	260E				
P095	0145	2709				
P096	0146	263A				
P097	0147	2642				
P098	0148	2640				
P050	0149	25C7		See also U+25CA and U+2727. Unicode 3.2 adds white concave-sided diamond at U+27E1.		
P099	0150	2708				
P100	0151	PUA		Encore glyph SILID 0151 could perhaps be mapped to U+1F4EF.		
P060	0152	25C2		See also U+25C0 and U+25C4.		
P059	0153	25B8		See also U+2023.		
P105	0154	2423		See also U+2334.		
P106	0155	00B0		See also U+02DA and 2218.	030A	See also U+0325.
P107	0156	02CD	5F	"The distinctions between Encore glyphs SILIDs 0123 - 0128, 6609, 6618 - 6631, 6709, 6718 - 6731, 6809, 6909, 8618 - 8631, 8718 - 8731, 9056, 9075, 9076 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent. Possible mappings include  U+005F, U+02CD, U+2017 U+208B, U+208C and U+2581."	0331	"The distinctions between Encore glyphs SILIDs 0123 - 0128, 6609, 6618 - 6631, 6709, 6718 - 6731, 6809, 6909, 8618 - 8631, 8718 - 8731, 9056, 9075, 9076 are too subtle to make accurate predictions as to what Unicode characters they might have been used to represent. Possible mappings include U+0320, U+0331, U+0332, U+0333 and U+0347"
P108	0157	25AE				
P109	0158	00B6				
P213	0159	03B1		See also U+237A.		
P214	0160	03B2				
P215	0161	0393		See also U+0413.		
P216	0162	03C3				
P217	0163	00B5		See also U+03BC.		
P218	0164	03C4				
P219	0165	03A6		See also U+0424.		
P220	0166	03B8		"See also U+0398, U+03D1, U+03F4 and U+04E9."		
P221	0167	03B4				
P223	0168	025B		See also U+03B5.		
P224	0169	03B7		"The shape of Encore SILID 0169 is not suited for U+019E, though it might have gotten used for that character in some font."		
P130	0170	2310				
P131	0171	00AC				
P134	0172	2007	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P136	0173	2008	"20,A0"	Possible mappings include space U+0020; no-break space U+00A0; en space U+2002; three-per-em space U+2004; four-per-em space U+2005; six-per-em space U+2006; figure space U+2007; punctuation space U+2008; thin space U+2009; hair space U+200A; zero width space U+200B; ideographic space U+3000 and zero width no-break space U+FEFF.		
P167	0174	PUA				
P196	0175	A702		New in Unicode 4.1. See also 2282.		
P197	0176	A700		New in Unicode 4.1. See also 2282.		
P198	0177	A704		New in Unicode 4.1. See also 2283.		
P199	0178	A706		New in Unicode 4.1. See also 2283.		
P200	0179	A703		New in Unicode 4.1. See also 2286.		
P201	0180	A701		New in Unicode 4.1. See also 2286.		
P202	0181	A705		New in Unicode 4.1. See also 2287.		
P203	0182	A707		New in Unicode 4.1. See also 2287.		
P204	0183	02DA	B0	"Possible mappings include U+00B0, U+02DA and 2218."	030A	See also U+0325.
P205	0184	2218	B0	"Possible mappings include U+00B0, U+02DA and 2218."	030A	See also U+0325.
P206	0185	2205				
P207	0186	2206				
P208	0187	2202				
P209	0188	2211		See also U+01A9.		
P210	0189	2126		See also U+03A9.		
P211	0190	220F		See also U+03A0 and U+041F.		
P212	0191	03C0		See also U+043F.		
P155	0192	2261				
P160	0193	02C5		See also U+2304.		
P162	0194	02C4	"5E,88"	"Possible mappings include U+005E, U+02C4, U+02C6, U+2227, U+22C0 and U+2303."	0302	
P164	0195	02C2	"3C,8B"	"Possible mappings include U+003C, U+02C2, U+2039, U+2329 and U+3008."		
P166	0196	02C3	"3E,9B"	"Possible mappings include U+003E, U+02C3, U+203A, U+232A and U+3009."		
P222	0197	00F8		See also U+2300.		
TL106	0210	A715 + A716 + A712 				
TR102	0211	02E8 + 02E9 + 02E9 				
TR103	0212	02E8 + 02E9 + 02E8 				
TR104	0213	02E8 + 02E9 + 02E7 				
TR105	0214	02E8 + 02E9 + 02E6 				
TR106	0215	02E8 + 02E9 + 02E5 				
TL102	0216	A715 + A716 + A716 				
TL103	0217	A715 + A716 + A715 				
TL104	0218	A715 + A716 + A714 				
TL105	0219	A715 + A716 + A713 				
TL111	0220	A715 + A715 + A712 				
TR107	0221	02E8 + 02E8 + 02E9 				
TR109	0223	02E8 + 02E8 + 02E7 				
TR110	0224	02E8 + 02E8 + 02E6 				
TR111	0225	02E8 + 02E8 + 02E5 				
TL107	0226	A715 + A715 + A716 				
TL109	0228	A715 + A715 + A714 				
TL110	0229	A715 + A715 + A713 				
TL212	0230	A715 + A714 + A712 				
TR208	0231	02E8 + 02E7 + 02E9 				
TR209	0232	02E8 + 02E7 + 02E8 				
TR210	0233	02E8 + 02E7 + 02E7 				
TR212	0235	02E8 + 02E7 + 02E5 				
TL208	0236	A715 + A714 + A716 				
TL209	0237	A715 + A714 + A715 				
TL210	0238	A715 + A714 + A714 				
TL217	0240	A715 + A713 + A712 				
TR213	0241	02E8 + 02E6 + 02E9 				
TR214	0242	02E8 + 02E6 + 02E8 				
TR215	0243	02E8 + 02E6 + 02E7 				
TR216	0244	02E8 + 02E6 + 02E6 				
TR217	0245	02E8 + 02E6 + 02E5 				
TL213	0246	A715 + A713 + A716 				
TL214	0247	A715 + A713 + A715 				
TL215	0248	A715 + A713 + A714 				
TL216	0249	A715 + A713 + A713 				
TL222	0250	A715 + A712 + A712 				
TR218	0251	02E8 + 02E5 + 02E9 				
TR219	0252	02E8 + 02E5 + 02E8 				
TR220	0253	02E8 + 02E5 + 02E7 				
TR221	0254	02E8 + 02E5 + 02E6 				
TR222	0255	02E8 + 02E5 + 02E5 				
TL218	0256	A715 + A712 + A716 				
TL219	0257	A715 + A712 + A715 				
TL220	0258	A715 + A712 + A714 				
TL221	0259	A715 + A712 + A713 				
TL090	0310	A714 + A716 + A712 				
TR086	0311	02E7 + 02E9 + 02E9 				
TR087	0312	02E7 + 02E9 + 02E8 				
TR088	0313	02E7 + 02E9 + 02E7 				
TR089	0314	02E7 + 02E9 + 02E6 				
TR090	0315	02E7 + 02E9 + 02E5 				
TL086	0316	A714 + A716 + A716 				
TL087	0317	A714 + A716 + A715 				
TL088	0318	A714 + A716 + A714 				
TL089	0319	A714 + A716 + A713 				
TL095	0320	A714 + A715 + A712 				
TR092	0322	02E7 + 02E8 + 02E8 				
TR093	0323	02E7 + 02E8 + 02E7 				
TR094	0324	02E7 + 02E8 + 02E6 				
TR095	0325	02E7 + 02E8 + 02E5 				
TL092	0327	A714 + A715 + A715 				
TL093	0328	A714 + A715 + A714 				
TL094	0329	A714 + A715 + A713 				
TL196	0330	A714 + A714 + A712 				
TR192	0331	02E7 + 02E7 + 02E9 				
TR193	0332	02E7 + 02E7 + 02E8 				
TR195	0334	02E7 + 02E7 + 02E6 				
TR196	0335	02E7 + 02E7 + 02E5 				
TL192	0336	A714 + A714 + A716 				
TL193	0337	A714 + A714 + A715 				
TL195	0339	A714 + A714 + A713 				
TR197	0341	02E7 + 02E6 + 02E9 				
TR198	0342	02E7 + 02E6 + 02E8 				
TR199	0343	02E7 + 02E6 + 02E7 				
TR200	0344	02E7 + 02E6 + 02E6 				
TL197	0346	A714 + A713 + A716 				
TL198	0347	A714 + A713 + A715 				
TL199	0348	A714 + A713 + A714 				
TL200	0349	A714 + A713 + A713 				
TL206	0350	A714 + A712 + A712 				
TR202	0351	02E7 + 02E5 + 02E9 				
TR203	0352	02E7 + 02E5 + 02E8 				
TR204	0353	02E7 + 02E5 + 02E7 				
TR205	0354	02E7 + 02E5 + 02E6 				
TR206	0355	02E7 + 02E5 + 02E5 				
TL202	0356	A714 + A712 + A716 				
TL203	0357	A714 + A712 + A715 				
TL204	0358	A714 + A712 + A714 				
TL205	0359	A714 + A712 + A713 				
TL074	0410	A713 + A716 + A712 				
TR070	0411	02E6 + 02E9 + 02E9 				
TR071	0412	02E6 + 02E9 + 02E8 				
TR072	0413	02E6 + 02E9 + 02E7 				
TR073	0414	02E6 + 02E9 + 02E6 				
TR074	0415	02E6 + 02E9 + 02E5 				
TL070	0416	A713 + A716 + A716 				
TL071	0417	A713 + A716 + A715 				
TL072	0418	A713 + A716 + A714 				
TL073	0419	A713 + A716 + A713 				
TL079	0420	A713 + A715 + A712 				
TR075	0421	02E6 + 02E8 + 02E9 				
TR076	0422	02E6 + 02E8 + 02E8 				
TR077	0423	02E6 + 02E8 + 02E7 				
TR078	0424	02E6 + 02E8 + 02E6 				
TR079	0425	02E6 + 02E8 + 02E5 				
TL075	0426	A713 + A715 + A716 				
TL076	0427	A713 + A715 + A715 				
TL077	0428	A713 + A715 + A714 				
TL078	0429	A713 + A715 + A713 				
TL180	0430	A713 + A714 + A712 				
TR176	0431	02E6 + 02E7 + 02E9 				
TR178	0433	02E6 + 02E7 + 02E7 				
TR179	0434	02E6 + 02E7 + 02E6 				
TR180	0435	02E6 + 02E7 + 02E5 				
TL176	0436	A713 + A714 + A716 				
TL178	0438	A713 + A714 + A714 				
TL179	0439	A713 + A714 + A713 				
TL185	0440	A713 + A713 + A712 				
TR181	0441	02E6 + 02E6 + 02E9 				
TR182	0442	02E6 + 02E6 + 02E8 				
TR183	0443	02E6 + 02E6 + 02E7 				
TR185	0445	02E6 + 02E6 + 02E5 				
TL181	0446	A713 + A713 + A716 				
TL182	0447	A713 + A713 + A715 				
TL183	0448	A713 + A713 + A714 				
TL190	0450	A713 + A712 + A712 				
TR186	0451	02E6 + 02E5 + 02E9 				
TR187	0452	02E6 + 02E5 + 02E8 				
TR188	0453	02E6 + 02E5 + 02E7 				
TR189	0454	02E6 + 02E5 + 02E6 				
TR190	0455	02E6 + 02E5 + 02E5 				
TL186	0456	A713 + A712 + A716 				
TL187	0457	A713 + A712 + A715 				
TL188	0458	A713 + A712 + A714 				
TL189	0459	A713 + A712 + A713 				
TL058	0510	A712 + A716 + A712 				
TR054	0511	02E5 + 02E9 + 02E9 				
TR055	0512	02E5 + 02E9 + 02E8 				
TR056	0513	02E5 + 02E9 + 02E7 				
TR057	0514	02E5 + 02E9 + 02E6 				
TR058	0515	02E5 + 02E9 + 02E5 				
TL054	0516	A712 + A716 + A716 				
TL055	0517	A712 + A716 + A715 				
TL056	0518	A712 + A716 + A714 				
TL057	0519	A712 + A716 + A713 				
TL063	0520	A712 + A715 + A712 				
TR059	0521	02E5 + 02E8 + 02E9 				
TR060	0522	02E5 + 02E8 + 02E8 				
TR061	0523	02E5 + 02E8 + 02E7 				
TR062	0524	02E5 + 02E8 + 02E6 				
TR063	0525	02E5 + 02E8 + 02E5 				
TL059	0526	A712 + A715 + A716 				
TL060	0527	A712 + A715 + A715 				
TL061	0528	A712 + A715 + A714 				
TL062	0529	A712 + A715 + A713 				
TL164	0530	A712 + A714 + A712 				
TR161	0532	02E5 + 02E7 + 02E8 				
TR162	0533	02E5 + 02E7 + 02E7 				
TR163	0534	02E5 + 02E7 + 02E6 				
TR164	0535	02E5 + 02E7 + 02E5 				
TL161	0537	A712 + A714 + A715 				
TL162	0538	A712 + A714 + A714 				
TL163	0539	A712 + A714 + A713 				
TL169	0540	A712 + A713 + A712 				
TR165	0541	02E5 + 02E6 + 02E9 				
TR166	0542	02E5 + 02E6 + 02E8 				
TR168	0544	02E5 + 02E6 + 02E6 				
TR169	0545	02E5 + 02E6 + 02E5 				
TL165	0546	A712 + A713 + A716 				
TL166	0547	A712 + A713 + A715 				
TL168	0549	A712 + A713 + A713 				
TR170	0551	02E5 + 02E5 + 02E9 				
TR171	0552	02E5 + 02E5 + 02E8 				
TR172	0553	02E5 + 02E5 + 02E7 				
TR173	0554	02E5 + 02E5 + 02E6 				
TL170	0556	A712 + A712 + A716 				
TL171	0557	A712 + A712 + A715 				
TL172	0558	A712 + A712 + A714 				
TL173	0559	A712 + A712 + A713 				
TL048	0600	A70D		New in Unicode 4.1. See also 02E5 				
TR112	0601	A70C		New in Unicode 4.1. See also 02E9 				
TR096	0602	A70B		New in Unicode 4.1. See also 02E8 				
TR080	0603	A70A		New in Unicode 4.1. See also 02E7 				
TR064	0604	A709		New in Unicode 4.1. See also 02E6 				
TR048	0605	A708		New in Unicode 4.1. See also 02E5 				
TL112	0606	A711		New in Unicode 4.1. See also 02E9 				
TL096	0607	A710		New in Unicode 4.1. See also 02E8 				
TL080	0608	A70F		New in Unicode 4.1. See also 02E7 				
TL064	0609	A70E		New in Unicode 4.1. See also 02E6 				
TL117	0610	A716 + A712 				
TR113	0611	02E9 				
TR114	0612	02E9 + 02E8 				
TR115	0613	02E9 + 02E7 				
TR116	0614	02E9 + 02E6 				
TR117	0615	02E9 + 02E5 				
TL113	0616	A716		New in Unicode 4.1. See also 02E9 + 02E9 				
TL114	0617	A716 + A715 				
TL115	0618	A716 + A714 				
TL116	0619	A716 + A713 				
TL101	0620	A715 + A712 				
TR097	0621	02E8 + 02E9 				
TR098	0622	02E8 				
TR099	0623	02E8 + 02E7 				
TR100	0624	02E8 + 02E6 				
TR101	0625	02E8 + 02E5 				
TL097	0626	A715 + A716 				
TL098	0627	A715		New in Unicode 4.1. See also 02E8 + 02E8 				
TL099	0628	A715 + A714 				
TL100	0629	A715 + A713 				
TL085	0630	A714 + A712 				
TR081	0631	02E7 + 02E9 				
TR082	0632	02E7 + 02E8 				
TR083	0633	02E7 				
TR084	0634	02E7 + 02E6 				
TR085	0635	02E7 + 02E5 				
TL081	0636	A714 + A716 				
TL082	0637	A714 + A715 				
TL083	0638	A714		New in Unicode 4.1. See also 02E7 + 02E7 				
TL084	0639	A714 + A713 				
TL069	0640	A713 + A712 				
TR065	0641	02E6 + 02E9 				
TR066	0642	02E6 + 02E8 				
TR067	0643	02E6 + 02E7 				
TR068	0644	02E6 				
TR069	0645	02E6 + 02E5 				
TL065	0646	A713 + A716 				
TL066	0647	A713 + A715 				
TL067	0648	A713 + A714 				
TL068	0649	A713		New in Unicode 4.1. See also 02E6 + 02E6 				
TL053	0650	A712		New in Unicode 4.1. See also 02E5 + 02E5 				
TR049	0651	02E5 + 02E9 				
TR050	0652	02E5 + 02E8 				
TR051	0653	02E5 + 02E7 				
TR052	0654	02E5 + 02E6 				
TR053	0655	02E5 				
TL049	0656	A712 + A716 				
TL050	0657	A712 + A715 				
TL051	0658	A712 + A714 				
